condition_id,convnext_sid_b,dino_sid_b,effnet_sid_b
clean,0.9980388311433614,0.9735242204353796,0.9978427142576975
jpeg_90,0.9980388311433614,0.9735242204353796,0.9978427142576975
jpeg_70,0.9984310649146892,0.9752892724063542,0.99745048048637
jpeg_50,0.998627181800353,0.9735242204353796,0.99745048048637
jpeg_30,0.9984310649146892,0.9748970386350264,0.99745048048637
blur_0.5,0.9980388311433614,0.9739164542067072,0.9980388311433614
blur_1,0.998627181800353,0.9750931555206904,0.9982349480290252
blur_2,0.998627181800353,0.9721514022357324,0.9976465973720338
resize_0.5,0.998627181800353,0.974112571092371,0.9982349480290252
resize_0.25,0.998627181800353,0.9748970386350264,0.9976465973720338
noise_0.02,0.99745048048637,0.9743086879780348,0.9984310649146892
noise_0.05,0.9954893116297312,0.9748970386350264,0.9962737791723868
noise_0.1,0.994508727201412,0.9743086879780348,0.994312610315748
colour_-0.2,0.9976465973720338,0.9743086879780348,0.9970582467150422
colour_0.2,0.9976465973720338,0.9213571288487938,0.995881545401059
crop_0.8,0.9978427142576975,0.8523239850951166,0.9978427142576975
