condition_id,convnext_sid_b,dino_sid_b,effnet_sid_b
clean,0.9999829172635364,0.9965482099446764,0.9999333619379396
jpeg_90,0.9999830711620632,0.9965592906385988,0.9999345931261532
jpeg_70,0.99998461014733,0.9965619069135526,0.9998978113782722
jpeg_50,0.9999895349001844,0.9965548275813244,0.9998690323537796
jpeg_30,0.9999889193060776,0.9966957986317806,0.99993567041584
blur_0.5,0.9999855335384904,0.9965894547498318,0.9999359782128934
blur_1,0.9999884576104976,0.9965298960199992,0.9999429036465948
blur_2,0.9999762996268884,0.9958604374288604,0.9999281293880318
resize_0.5,0.9999883037119708,0.9965817598234968,0.9999353626187866
resize_0.25,0.9999772230180488,0.9962796570155874,0.9999156636073692
noise_0.02,0.9999730677578278,0.9965580594503852,0.9998410228219204
noise_0.05,0.999896272393005,0.9965425156991888,0.9998276336500976
noise_0.1,0.9998142444782748,0.9966941057479868,0.9997152877256076
colour_-0.2,0.999947520602396,0.9962444142529736,0.9999042751163936
colour_0.2,0.999960755875692,0.9832700759089094,0.999875803888954
crop_0.8,0.9999719904681408,0.9683806242986076,0.9999267443012916
