evaluation_title,dataset_id,random_policy,model_id,model_title,architecture_override,checkpoint_hash,num_trials,num_unique_images,num_random_predictions,clean_correct_retention_rate,clean_correct_to_wrong_rate,clean__num_samples,pooled_random__num_samples,clean__threshold,pooled_random__threshold,clean__true_negatives,pooled_random__true_negatives,trial_mean__true_negatives,trial_std__true_negatives,clean__false_positives,pooled_random__false_positives,trial_mean__false_positives,trial_std__false_positives,clean__false_negatives,pooled_random__false_negatives,trial_mean__false_negatives,trial_std__false_negatives,clean__true_positives,pooled_random__true_positives,trial_mean__true_positives,trial_std__true_positives,clean__accuracy,pooled_random__accuracy,trial_mean__accuracy,trial_std__accuracy,clean__balanced_accuracy,pooled_random__balanced_accuracy,trial_mean__balanced_accuracy,trial_std__balanced_accuracy,clean__precision,pooled_random__precision,trial_mean__precision,trial_std__precision,clean__recall,pooled_random__recall,trial_mean__recall,trial_std__recall,clean__f1,pooled_random__f1,trial_mean__f1,trial_std__f1,clean__auroc,pooled_random__auroc,trial_mean__auroc,trial_std__auroc,clean__auprc,pooled_random__auprc,trial_mean__auprc,trial_std__auprc,clean__false_positive_rate,pooled_random__false_positive_rate,trial_mean__false_positive_rate,trial_std__false_positive_rate,clean__false_negative_rate,pooled_random__false_negative_rate,trial_mean__false_negative_rate,trial_std__false_negative_rate,clean__brier_score,pooled_random__brier_score,trial_mean__brier_score,trial_std__brier_score,accuracy_drop_from_clean,auroc_drop_from_clean,auprc_drop_from_clean
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,5,5099,25495,0.9911163522012578,0.008883647798742138,5099,25495,0.5,0.5,2587,12954,2590.8,1.16619037896906,9,26,5.2,1.16619037896906,2,221,44.2,3.4871191548325386,2501,12294,2458.8,3.4871191548325386,0.9978427142576975,0.9903118258482055,0.9903118258482057,0.0007605695010655206,0.9978670433692205,0.9901690544536079,0.9901690544536079,0.0007708223857512056,0.996414342629482,0.9978896103896104,0.9978897047614439,0.000472756086112141,0.9992009588493808,0.9823411905713144,0.9823411905713144,0.0013931758509119357,0.997805705166567,0.990054358767868,0.9900539160031437,0.0007866412382042605,0.9999333619379395,0.9997009690066835,0.9997014060784993,8.08487655685442e-05,0.9999356572371612,0.999712444766309,0.9997128875506952,6.660548884646196e-05,0.0034668721109399076,0.002003081664098613,0.002003081664098613,0.0004492258778771419,0.0007990411506192569,0.017658809428685578,0.017658809428685578,0.0013931758509119212,0.001762657628052634,0.007404613982484192,0.007404613982484194,0.0005213640835407947,0.007530888409492009,0.00023239293125598692,0.00022321247085210771
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,5,5099,25495,0.9901263823064771,0.009873617693522907,5099,25495,0.5,0.5,2569,12859,2571.8,2.7856776554368237,27,121,24.2,2.7856776554368237,8,229,45.8,2.85657137141714,2495,12286,2457.2,2.85657137141714,0.9931359090017651,0.9862718180035301,0.9862718180035301,0.0009766542143940999,0.9932016095323516,0.986189961876257,0.986189961876257,0.0009773126878445551,0.9892942109436955,0.990247440960748,0.9902479698163015,0.0011190104770339548,0.9968038353975229,0.981701957650819,0.9817019576508189,0.0011412590377215981,0.9930348258706467,0.9859561832918706,0.9859561635013417,0.0009994457221445194,0.9998282492442043,0.9984964390958891,0.9984973193954619,0.00017339273362924277,0.9998288762587724,0.9979007774427553,0.9979022095859292,0.00036783952170851104,0.010400616332819723,0.009322033898305085,0.009322033898305085,0.0010730653526335994,0.0031961646024770275,0.018298042349180983,0.018298042349180983,0.0011412590377215897,0.005197436197410382,0.01037141249286843,0.01037141249286843,0.000795377599844001,0.0068640909982349285,0.0013318101483151823,0.0019280988160170764
