evaluation_title,dataset_id,random_policy,scope,trial_index,trial_seed,reference_model_id,reference_model_title,candidate_model_id,candidate_model_title,difference_direction,old_sid_b__num_samples,mixed_sid_cifake_b__num_samples,old_sid_b__threshold,mixed_sid_cifake_b__threshold,old_sid_b__true_negatives,mixed_sid_cifake_b__true_negatives,mixed_sid_cifake_b_minus_old_sid_b__true_negatives,old_sid_b__false_positives,mixed_sid_cifake_b__false_positives,mixed_sid_cifake_b_minus_old_sid_b__false_positives,old_sid_b__false_negatives,mixed_sid_cifake_b__false_negatives,mixed_sid_cifake_b_minus_old_sid_b__false_negatives,old_sid_b__true_positives,mixed_sid_cifake_b__true_positives,mixed_sid_cifake_b_minus_old_sid_b__true_positives,old_sid_b__accuracy,mixed_sid_cifake_b__accuracy,mixed_sid_cifake_b_minus_old_sid_b__accuracy,old_sid_b__balanced_accuracy,mixed_sid_cifake_b__balanced_accuracy,mixed_sid_cifake_b_minus_old_sid_b__balanced_accuracy,old_sid_b__precision,mixed_sid_cifake_b__precision,mixed_sid_cifake_b_minus_old_sid_b__precision,old_sid_b__recall,mixed_sid_cifake_b__recall,mixed_sid_cifake_b_minus_old_sid_b__recall,old_sid_b__f1,mixed_sid_cifake_b__f1,mixed_sid_cifake_b_minus_old_sid_b__f1,old_sid_b__auroc,mixed_sid_cifake_b__auroc,mixed_sid_cifake_b_minus_old_sid_b__auroc,old_sid_b__auprc,mixed_sid_cifake_b__auprc,mixed_sid_cifake_b_minus_old_sid_b__auprc,old_sid_b__false_positive_rate,mixed_sid_cifake_b__false_positive_rate,mixed_sid_cifake_b_minus_old_sid_b__false_positive_rate,old_sid_b__false_negative_rate,mixed_sid_cifake_b__false_negative_rate,mixed_sid_cifake_b_minus_old_sid_b__false_negative_rate,old_sid_b__brier_score,mixed_sid_cifake_b__brier_score,mixed_sid_cifake_b_minus_old_sid_b__brier_score,higher_accuracy_model,higher_auroc_model,higher_auprc_model,lower_false_positive_rate_model,lower_false_negative_rate_model,lower_brier_score_model
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,pooled_random_trials,,,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,73620,73620,0.5,0.5,35720,34391,-1329.0,585,1914,1329.0,36472,9623,-26849.0,843,27692,26849.0,0.49664493344199945,0.8432898668839989,0.3466449334419994,0.5032389840838639,0.8446972100880619,0.34145822600419795,0.5903361344537815,0.9353509423765453,0.34501480792276373,0.02259145115905132,0.7421144311938899,0.7195229800348385,0.04351753865214361,0.8276026957158441,0.7840851570637005,0.5154885351584273,0.9423613381079201,0.4268728029494928,0.5213489552994178,0.9463500037331022,0.42500104843368436,0.016113482991323508,0.05272001101776615,0.03660652802644264,0.9774085488409486,0.25788556880611013,-0.7195229800348385,0.4373873900271574,0.1125794096120744,-0.32480798041508296,mixed_sid_cifake_b,mixed_sid_cifake_b,mixed_sid_cifake_b,old_sid_b,mixed_sid_cifake_b,mixed_sid_cifake_b
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,1.0,42.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,14724,14724,0.5,0.5,7141,6861,-280.0,120,400,280.0,7309,1978,-5331.0,154,5485,5331.0,0.4954496060853029,0.8384949741917957,0.34304536810649283,0.502054242051265,0.8399351504884501,0.3378809084371851,0.5620437956204379,0.9320305862361937,0.3699867906157558,0.020635133324400375,0.7349591317164679,0.7143239983920675,0.039808711386842444,0.821845969433623,0.7820372580467805,0.5161234112343015,0.9389205818622111,0.42279717062790956,0.5189604085879219,0.9423721917371881,0.4234117831492662,0.016526649221870266,0.05508883073956755,0.03856218151769729,0.9793648666755996,0.26504086828353207,-0.7143239983920675,0.438196815496307,0.11605131924081491,-0.3221454962554921,mixed_sid_cifake_b,mixed_sid_cifake_b,mixed_sid_cifake_b,old_sid_b,mixed_sid_cifake_b,mixed_sid_cifake_b
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,2.0,43.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,14724,14724,0.5,0.5,7158,6897,-261.0,103,364,261.0,7284,1936,-5348.0,179,5527,5348.0,0.4983020918228742,0.8437924477044282,0.34549035588155397,0.5048998093574355,0.8452280296886944,0.34032822033125887,0.6347517730496454,0.9382108300797827,0.3034590570301373,0.023984992630309527,0.7405868953503952,0.7166019027200857,0.04622336991607489,0.8277669612101243,0.7815435912940494,0.5104667578896268,0.9444727118458685,0.43400595395624164,0.5196892052048304,0.9489868907479646,0.4292976855431342,0.014185373915438644,0.05013083597300647,0.03594546205756783,0.9760150073696905,0.2594131046496047,-0.7166019027200858,0.4369897826552865,0.11065445251072381,-0.3263353301445627,mixed_sid_cifake_b,mixed_sid_cifake_b,mixed_sid_cifake_b,old_sid_b,mixed_sid_cifake_b,mixed_sid_cifake_b
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,3.0,44.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,14724,14724,0.5,0.5,7134,6867,-267.0,127,394,267.0,7276,1909,-5367.0,187,5554,5367.0,0.49721543058951373,0.8435886987231731,0.3463732681336594,0.5037831219241939,0.8449711225611516,0.34118800063695764,0.5955414012738853,0.9337592468056489,0.3382178455317636,0.025056947608200455,0.7442047434007771,0.7191477957925767,0.04809052333804809,0.8282752963984789,0.7801847730604308,0.5167244205601511,0.9427019229770233,0.42597750241687216,0.5237640587119964,0.9460704071413847,0.4223063484293883,0.0174907037598127,0.05426249827847404,0.036771794518661347,0.9749430523917996,0.2557952565992228,-0.7191477957925767,0.43620184218005026,0.11232153918275074,-0.32388030299729953,mixed_sid_cifake_b,mixed_sid_cifake_b,mixed_sid_cifake_b,old_sid_b,mixed_sid_cifake_b,mixed_sid_cifake_b
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,4.0,45.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,14724,14724,0.5,0.5,7148,6879,-269.0,113,382,269.0,7289,1930,-5359.0,174,5533,5359.0,0.49728334691659876,0.8429774517794077,0.345694104862809,0.5038762130425999,0.8443905141137633,0.3405143010711634,0.6062717770034843,0.93541842772612,0.3291466507226357,0.023315020769127698,0.7413908615838135,0.7180758408146858,0.04490322580645161,0.8271789505157722,0.7822757247093206,0.5178693333607436,0.9423822723064967,0.42451293894575315,0.5232115028571482,0.9457765616921856,0.42256505883503737,0.015562594683927834,0.052609833356287015,0.03704723867235918,0.9766849792308723,0.25860913841618655,-0.7180758408146857,0.43730431206219356,0.11294249998162235,-0.3243618120805712,mixed_sid_cifake_b,mixed_sid_cifake_b,mixed_sid_cifake_b,old_sid_b,mixed_sid_cifake_b,mixed_sid_cifake_b
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,5.0,46.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,14724,14724,0.5,0.5,7139,6887,-252.0,122,374,252.0,7314,1870,-5444.0,149,5593,5444.0,0.4949741917957077,0.8475957620211899,0.35262157022548224,0.5015815340438252,0.8489612335882499,0.3473796995444247,0.5498154981549815,0.9373219373219374,0.3875064391669558,0.019965161463218545,0.7494305239179955,0.7294653624547769,0.03853116110680114,0.8329113924050633,0.7943802312982622,0.5162587066123556,0.9433191072191742,0.4270604006068186,0.5221819235085652,0.9485432950454311,0.42636137153686593,0.016802093375568105,0.05150805674149566,0.03470596336592756,0.9800348385367814,0.2505694760820046,-0.7294653624547769,0.4382441977419493,0.11092723714446003,-0.32731696059748927,mixed_sid_cifake_b,mixed_sid_cifake_b,mixed_sid_cifake_b,old_sid_b,mixed_sid_cifake_b,mixed_sid_cifake_b
