evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> colour -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,624,0.5,295,12,71,246,0.8669871794871795,0.8684686443551619,0.9534883720930233,0.7760252365930599,0.8556521739130435,0.9663683350630401,0.968542484476234,0.03908794788273615,0.22397476340694006,0.09065364525589509
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> colour -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,652,0.5,307,18,50,277,0.8957055214723927,0.8958550929193131,0.9389830508474576,0.8470948012232415,0.8906752411575563,0.970764525993884,0.9715046673268525,0.055384615384615386,0.1529051987767584,0.07481336927980742
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> colour -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,657,0.5,299,23,39,296,0.9056316590563166,0.9060767590618337,0.9278996865203761,0.8835820895522388,0.9051987767584098,0.9719384444238436,0.9741848889004296,0.07142857142857142,0.11641791044776119,0.06581035935249452
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> colour -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,650,0.5,306,10,70,264,0.8769230769230769,0.8793867960281968,0.9635036496350365,0.7904191616766467,0.868421052631579,0.9640244826802091,0.9694044325127733,0.03164556962025317,0.20958083832335328,0.08915195351052878
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> crop -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,642,0.5,300,11,77,254,0.8629283489096573,0.8660009131444226,0.9584905660377359,0.7673716012084593,0.8523489932885906,0.9628719363518908,0.96851930719748,0.03536977491961415,0.2326283987915408,0.09808072423216713
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> crop -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,575,0.5,261,13,43,258,0.9026086956521739,0.9048488008342023,0.9520295202952029,0.8571428571428571,0.9020979020979021,0.9739069282440527,0.9761378757124018,0.04744525547445255,0.14285714285714285,0.07583051949433013
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> crop -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,578,0.5,284,8,40,246,0.916955017301038,0.9163712999329438,0.968503937007874,0.8601398601398601,0.9111111111111111,0.9777397260273972,0.9810477020580224,0.0273972602739726,0.13986013986013987,0.05993058659844156
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> crop -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,601,0.5,304,16,55,226,0.8818635607321131,0.877135231316726,0.9338842975206612,0.8042704626334519,0.864244741873805,0.9621886120996441,0.9560538997297168,0.05,0.19572953736654805,0.08336810639818996
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> noise -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,584,0.5,289,7,69,219,0.8698630136986302,0.8683840090090089,0.9690265486725663,0.7604166666666666,0.8521400778210116,0.9711782094594594,0.9713499282019098,0.02364864864864865,0.23958333333333334,0.08951682841714967
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> noise -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,614,0.5,276,27,31,280,0.9055374592833876,0.9056063162586355,0.9120521172638436,0.9003215434083601,0.9061488673139159,0.9648636889412414,0.9667641709131111,0.0891089108910891,0.09967845659163987,0.07047217200656869
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> noise -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,600,0.5,305,11,45,239,0.9066666666666666,0.9033695845961847,0.956,0.8415492957746479,0.8951310861423221,0.9633958816188268,0.9638782622706046,0.03481012658227848,0.15845070422535212,0.07415857390752284
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> noise -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,557,0.5,267,8,69,213,0.8617594254937163,0.8631141199226307,0.9638009049773756,0.7553191489361702,0.8469184890656064,0.9542101869761443,0.9614657789645252,0.02909090909090909,0.24468085106382978,0.10027165992575296
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> resize -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,628,0.5,289,12,53,274,0.8964968152866242,0.8990266898310423,0.958041958041958,0.8379204892966361,0.8939641109298532,0.9688296910400601,0.971879207125673,0.03986710963455149,0.1620795107033639,0.0783456107683427
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> resize -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,603,0.5,288,23,67,225,0.8507462686567164,0.8482964806413249,0.907258064516129,0.7705479452054794,0.8333333333333334,0.9387195524820509,0.9425709981320058,0.07395498392282958,0.22945205479452055,0.10532217823016987
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> resize -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,628,0.5,299,14,68,247,0.8694267515923567,0.8696992748110959,0.946360153256705,0.7841269841269841,0.8576388888888888,0.9527156549520767,0.9539808340643995,0.04472843450479233,0.21587301587301588,0.09711675456965521
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,jpeg -> resize -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,628,0.5,301,23,86,218,0.8264331210191083,0.8230588044184535,0.9045643153526971,0.7171052631578947,0.8,0.9141183398310591,0.9225860028956867,0.07098765432098765,0.28289473684210525,0.12423890148858863
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> blur -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,605,0.5,267,8,71,259,0.8694214876033057,0.8778787878787879,0.9700374531835206,0.7848484848484848,0.8676716917922948,0.9598126721763086,0.9683987573550156,0.02909090909090909,0.21515151515151515,0.10094696603418532
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> blur -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,606,0.5,295,8,89,214,0.8399339933993399,0.8399339933993399,0.963963963963964,0.7062706270627063,0.8152380952380952,0.9477502205666112,0.9531043995335636,0.026402640264026403,0.29372937293729373,0.12148231869109427
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> blur -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,604,0.5,282,4,92,226,0.8410596026490066,0.8483529049566785,0.9826086956521739,0.710691823899371,0.8248175182481752,0.9612635791881077,0.9688380479958278,0.013986013986013986,0.2893081761006289,0.1200797510474267
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> blur -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,626,0.5,299,13,92,222,0.8322683706070287,0.8326698513800425,0.9446808510638298,0.7070063694267515,0.8087431693989071,0.9448901682181937,0.9487393983661243,0.041666666666666664,0.2929936305732484,0.11886909911196977
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> colour -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,599,0.5,294,10,78,217,0.8530884808013356,0.8513492417484388,0.9559471365638766,0.735593220338983,0.8314176245210728,0.9542149866190901,0.9556286478502342,0.03289473684210526,0.26440677966101694,0.1110838139742611
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> colour -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,605,0.5,256,28,61,260,0.8528925619834711,0.8556886490281251,0.9027777777777778,0.8099688473520249,0.8538587848932676,0.9380457198016761,0.9457639639870291,0.09859154929577464,0.19003115264797507,0.10705540358481128
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> colour -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,612,0.5,297,9,69,237,0.8725490196078431,0.8725490196078431,0.9634146341463414,0.7745098039215687,0.8586956521739131,0.9669144346191636,0.966179867128432,0.029411764705882353,0.22549019607843138,0.091708240911745
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> colour -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,605,0.5,279,18,78,230,0.8413223140495868,0.8430735930735931,0.9274193548387096,0.7467532467532467,0.8273381294964028,0.9395797804888714,0.9408668721981095,0.06060606060606061,0.2532467532467532,0.11489109479415426
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> crop -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,605,0.5,295,15,94,201,0.8198347107438017,0.8164844177145982,0.9305555555555556,0.6813559322033899,0.786692759295499,0.9368944778567524,0.9397187133801758,0.04838709677419355,0.31864406779661014,0.12747375363298177
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> crop -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,619,0.5,273,28,56,262,0.864297253634895,0.8654380576276144,0.903448275862069,0.8238993710691824,0.8618421052631579,0.9442424622328089,0.9471993500636917,0.09302325581395349,0.1761006289308176,0.09867091501219519
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> crop -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,613,0.5,302,4,118,189,0.800978792822186,0.801281641864129,0.9792746113989638,0.6156351791530945,0.756,0.9624129782206042,0.965660124217318,0.013071895424836602,0.38436482084690554,0.14430866522657493
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> crop -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,624,0.5,295,19,79,231,0.842948717948718,0.8423258680912267,0.924,0.7451612903225806,0.825,0.9373279227450174,0.9419417963118216,0.06050955414012739,0.25483870967741934,0.11180022992696806
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> jpeg -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,632,0.5,295,6,103,228,0.8275316455696202,0.8344440987242927,0.9743589743589743,0.6888217522658611,0.8070796460176991,0.9651915568447572,0.9713258650906886,0.019933554817275746,0.311178247734139,0.12015267225427077
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> jpeg -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,613,0.5,306,9,57,241,0.8923327895595432,0.8900767018216682,0.964,0.8087248322147651,0.8795620437956204,0.9696069031639502,0.9667306445256038,0.02857142857142857,0.1912751677852349,0.08161570362670967
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> jpeg -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,587,0.5,284,6,86,211,0.8432708688245315,0.8448740276326483,0.9723502304147466,0.7104377104377104,0.8210116731517509,0.9680831301520956,0.9699914562050493,0.020689655172413793,0.2895622895622896,0.11519911678085053
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> jpeg -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,612,0.5,308,6,78,220,0.8627450980392157,0.859573376651135,0.9734513274336283,0.738255033557047,0.8396946564885496,0.9567285085281921,0.9593985723551306,0.01910828025477707,0.26174496644295303,0.10228237009442093
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> resize -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,559,0.5,276,10,80,193,0.8389982110912343,0.835997335997336,0.9507389162561576,0.706959706959707,0.8109243697478992,0.9405978636747868,0.9363169009842259,0.03496503496503497,0.29304029304029305,0.11640043251731202
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> resize -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,620,0.5,308,20,73,219,0.85,0.8445121951219512,0.9163179916317992,0.75,0.8248587570621468,0.9371867691279653,0.9365288315731515,0.06097560975609756,0.25,0.10927635162946213
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> resize -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,625,0.5,289,7,94,235,0.8384,0.8453185328185329,0.9710743801652892,0.7142857142857143,0.8231173380035026,0.948400147868233,0.9551595174858978,0.02364864864864865,0.2857142857142857,0.12097702129556676
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,noise -> resize -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,620,0.5,289,7,97,227,0.832258064516129,0.8384843176509843,0.9700854700854701,0.7006172839506173,0.8136200716845878,0.9553407574240907,0.9618015164906712,0.02364864864864865,0.2993827160493827,0.11916599290809358
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> blur -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,600,0.5,271,19,80,230,0.835,0.8382091212458287,0.9236947791164659,0.7419354838709677,0.8228980322003577,0.9390545050055618,0.9468957221522611,0.06551724137931035,0.25806451612903225,0.11484645366181603
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> blur -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,589,0.5,251,18,97,223,0.8047538200339559,0.814980250929368,0.9253112033195021,0.696875,0.7950089126559715,0.9206668215613383,0.9349834152702098,0.06691449814126393,0.303125,0.13986768675125336
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> blur -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,641,0.5,319,5,91,226,0.8502340093603744,0.8487508275888929,0.9783549783549783,0.7129337539432177,0.8248175182481752,0.9704404720177591,0.971956686377343,0.015432098765432098,0.2870662460567823,0.10127375716531632
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> blur -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,616,0.5,282,26,90,218,0.8116883116883117,0.8116883116883117,0.8934426229508197,0.7077922077922078,0.7898550724637681,0.9065925957159723,0.9093757676439242,0.08441558441558442,0.2922077922077922,0.13464239428707678
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> colour -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,573,0.5,254,27,70,222,0.8307155322862129,0.8320942816750354,0.891566265060241,0.7602739726027398,0.8207024029574861,0.9265587676107834,0.9327882659020642,0.09608540925266904,0.23972602739726026,0.12022157483040395
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> colour -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,618,0.5,289,11,80,238,0.8527508090614887,0.8558805031446541,0.9558232931726908,0.7484276729559748,0.8395061728395061,0.9494863731656185,0.9524782661296584,0.03666666666666667,0.25157232704402516,0.11375326737890594
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> colour -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,598,0.5,256,18,86,238,0.8260869565217391,0.8344372352888167,0.9296875,0.7345679012345679,0.8206896551724138,0.9314229070920068,0.945381508713772,0.06569343065693431,0.2654320987654321,0.12874629508482938
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> colour -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,605,0.5,275,24,95,211,0.8033057851239669,0.8046374625658513,0.8978723404255319,0.6895424836601307,0.7800369685767098,0.9168142173257263,0.9186797292463439,0.0802675585284281,0.3104575163398693,0.13281978190823024
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,resize -> crop -> blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,640,0.5,287,16,92,245,0.83125,0.8370988434154989,0.9386973180076629,0.7270029673590505,0.8193979933110368,0.9309476941759458,0.941859618029649,0.052805280528052806,0.27299703264094954,0.1208470383952076
