model_id,model_title,architecture_override,evaluation_title,checkpoint_hash,split,transform,severity,seed,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,blur,2.0,,14724,0.5,7167,94,7225,238,0.5029204020646564,0.5094723926842284,0.7168674698795181,0.03189066059225513,0.06106478511866581,0.5079160391005211,0.536857930498951,0.012945875223798375,0.9681093394077449,0.3695041272878387
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,blur,2.0,,14724,0.5,6783,478,6878,585,0.5004074979625102,0.5062777775122455,0.5503292568203199,0.07838670775827415,0.13722730471498945,0.5015353529507909,0.5161969110629074,0.06583115273378322,0.9216132922417258,0.33475991280897077
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,resize,0.5,,14724,0.5,7226,35,7279,184,0.5032599837000815,0.5099173459008896,0.8401826484018264,0.024654964491491356,0.04790419161676647,0.5754461208924501,0.6008607250293727,0.004820272689712161,0.9753450355085086,0.4328062939185782
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,resize,0.5,,14724,0.5,7241,20,7393,70,0.4965362673186634,0.5033125822597836,0.7777777777777778,0.009379606056545624,0.018535681186283594,0.5592004704732301,0.5629906466481573,0.002754441536978378,0.9906203939434544,0.45128854505953336
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,resize,0.25,,14724,0.5,7137,124,7211,252,0.5018337408312958,0.5083445221371491,0.6702127659574468,0.033766581803564254,0.0642939150401837,0.5284653429489167,0.5477704357868769,0.01707753752926594,0.9662334181964357,0.3794928856938558
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,resize,0.25,,14724,0.5,6844,417,6903,560,0.5028524857375714,0.5088033712031829,0.5731832139201638,0.075036848452365,0.13270142180094788,0.504553732582923,0.5237322067983186,0.05743010604599917,0.924963151547635,0.3497634025923993
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,noise,0.02,42.0,14724,0.5,7259,2,7454,9,0.4936158652540071,0.5004652525982147,0.8181818181818182,0.0012059493501272946,0.002408348943002408,0.6215387178500933,0.6425076668326226,0.0002754441536978378,0.9987940506498727,0.4912409982971557
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,noise,0.02,42.0,14724,0.5,7261,0,7461,2,0.4932762836185819,0.5001339943722364,1.0,0.00026798874447273214,0.0005358338914936369,0.6122439263004748,0.6182704331536046,0.0,0.9997320112555272,0.5032458202042999
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,noise,0.05,42.0,14724,0.5,7261,0,7463,0,0.49314045096441184,0.5,0.0,0.0,0.0,0.5941817395879813,0.6078081409592003,0.0,1.0,0.50221257052496
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,noise,0.05,42.0,14724,0.5,7261,0,7463,0,0.49314045096441184,0.5,0.0,0.0,0.0,0.5917602909514048,0.6016928725340588,0.0,1.0,0.5050707317426208
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,noise,0.1,42.0,14724,0.5,7261,0,7463,0,0.49314045096441184,0.5,0.0,0.0,0.0,0.5523985075673234,0.5621762199636684,0.0,1.0,0.5045059780977564
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,noise,0.1,42.0,14724,0.5,7261,0,7463,0,0.49314045096441184,0.5,0.0,0.0,0.0,0.562773355393471,0.5738331597684531,0.0,1.0,0.5052566828587872
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,colour,-0.2,,14724,0.5,7254,7,7318,145,0.5025129041021461,0.5092325647181654,0.9539473684210527,0.01942918397427308,0.03808273145108339,0.6008629949895775,0.6295398719756472,0.0009640545379424321,0.9805708160257269,0.45380448824182923
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,colour,-0.2,,14724,0.5,7260,1,7459,4,0.4933441999456669,0.5001991277060482,0.8,0.0005359774889454643,0.0010712372790573112,0.5577328436408949,0.5588912805001092,0.0001377220768489189,0.9994640225110545,0.5016557550452302
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,colour,0.2,,14724,0.5,7219,42,7204,259,0.5078782939418637,0.5144601075907821,0.8604651162790697,0.03470454240921881,0.0667181865018032,0.6365560895994772,0.6537778420853196,0.005784327227654593,0.9652954575907812,0.4364787669157302
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,colour,0.2,,14724,0.5,7259,2,7434,29,0.4949741917957077,0.5018051963205784,0.9354838709677419,0.0038858367948546163,0.00773952495329597,0.6438574726535498,0.6473855140299662,0.0002754441536978378,0.9961141632051453,0.4904515064317739
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,crop,0.8,,14724,0.5,7241,20,7233,230,0.5074028796522684,0.5140321320386929,0.92,0.030818705614364197,0.05963956955788928,0.5746527195644314,0.6127183495798567,0.002754441536978378,0.9691812943856358,0.44366943903285244
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,crop,0.8,,14724,0.5,7257,4,7451,12,0.4936837815810921,0.5005285220797203,0.75,0.001607932466836393,0.003208985158443642,0.5375450994589421,0.5460808418290757,0.0005508883073956756,0.9983920675331636,0.49289954304097033
