model_id,checkpoint_hash,split,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,14724,0.5,7118,143,105,7358,0.9831567508829122,0.983118166962893,0.9809358752166378,0.9859305909151815,0.98342689120556,0.9983512842302242,0.9982413027563889,0.0196942569893954,0.014069409084818438,0.01330662955522728
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,14724,0.5,7066,195,95,7368,0.980304265145341,0.980207364826003,0.9742165807219357,0.9872705346375452,0.9807001197923599,0.9980463229303492,0.9979179472760347,0.026855804985539182,0.012729465362454777,0.015265673402402266
