evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> jpeg -> resize,sid_a_clean,SID A — EfficientNet clean training,5,217,0.5,113,0,9,95,0.9585253456221198,0.9567307692307692,1.0,0.9134615384615384,0.9547738693467337,0.9995745405037441,0.9995589273112209,0.0,0.08653846153846154,0.031311732594413555
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> noise -> blur,sid_a_clean,SID A — EfficientNet clean training,5,239,0.5,115,0,75,49,0.6861924686192469,0.6975806451612903,1.0,0.3951612903225806,0.5664739884393064,0.9833099579242637,0.986391470819587,0.0,0.6048387096774194,0.2700907716109123
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> noise -> colour,sid_a_clean,SID A — EfficientNet clean training,5,204,0.5,100,0,59,45,0.7107843137254902,0.7163461538461539,1.0,0.4326923076923077,0.6040268456375839,0.9914423076923077,0.99320891016997,0.0,0.5673076923076923,0.252974460410644
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> noise -> jpeg,sid_a_clean,SID A — EfficientNet clean training,5,197,0.5,102,0,57,38,0.7106598984771574,0.7,1.0,0.4,0.5714285714285714,0.9964912280701754,0.9962908889242216,0.0,0.6,0.26123273082697246
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> noise -> resize,sid_a_clean,SID A — EfficientNet clean training,5,233,0.5,119,0,69,45,0.703862660944206,0.6973684210526316,1.0,0.39473684210526316,0.5660377358490566,0.9825298540468819,0.9846867202008027,0.0,0.6052631578947368,0.25900421402204876
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> resize -> blur,sid_a_clean,SID A — EfficientNet clean training,5,209,0.5,106,0,4,99,0.9808612440191388,0.9805825242718447,1.0,0.9611650485436893,0.9801980198019802,1.0,1.0,0.0,0.038834951456310676,0.014570461861800164
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> resize -> colour,sid_a_clean,SID A — EfficientNet clean training,5,208,0.5,102,0,7,99,0.9663461538461539,0.9669811320754718,1.0,0.9339622641509434,0.9658536585365853,1.0,1.0,0.0,0.0660377358490566,0.020386764254353314
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> resize -> jpeg,sid_a_clean,SID A — EfficientNet clean training,5,219,0.5,106,0,10,103,0.954337899543379,0.9557522123893805,1.0,0.911504424778761,0.9537037037037037,0.9998330272165638,0.9998440576341001,0.0,0.08849557522123894,0.032764970321944545
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,crop -> resize -> noise,sid_a_clean,SID A — EfficientNet clean training,5,201,0.5,107,0,63,31,0.6865671641791045,0.6648936170212766,1.0,0.32978723404255317,0.496,0.9964207595943527,0.9959301654052689,0.0,0.6702127659574468,0.25847170696148725
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> blur -> colour,sid_a_clean,SID A — EfficientNet clean training,5,200,0.5,101,0,6,93,0.97,0.9696969696969697,1.0,0.9393939393939394,0.96875,0.999899989999,0.9998989898989895,0.0,0.06060606060606061,0.02253056346657274
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> blur -> crop,sid_a_clean,SID A — EfficientNet clean training,5,190,0.5,82,0,16,92,0.9157894736842105,0.9259259259259259,1.0,0.8518518518518519,0.92,0.9988708220415538,0.9991425141308623,0.0,0.14814814814814814,0.06505965331225118
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,jpeg -> blur -> noise,sid_a_clean,SID A — EfficientNet clean training,5,208,0.5,101,0,70,37,0.6634615384615384,0.6728971962616822,1.0,0.34579439252336447,0.5138888888888888,0.9956509669658554,0.9954758395931069,0.0,0.6542056074766355,0.29766822325736736
